"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W4-035","GmJMC102","W4",35,0,20.205,705.5,3672,4892.5,2663.5,25791,7858.25,0.199312848468587,0.410937808968425,0.0021999223638452,0.453627151320421,-13.0890390592932
"W4-036","GmJMC128","W4",36,0,16.255,751.5,2739,4249,2342,21340.5,6816,0.164432899749204,0.37343532233249,0.0250267165098672,0.394321341979863,2.23934603181727
"W4-037","GmWMC108","W4",37,0,21.11,804.5,2336.5,3803.75,2198,20533,6693,0.197377956140712,0.440478293636363,0.038639583348042,0.461013776885454,7.10391399379507
"W4-038","GmWMC144","W4",38,1,10.205,472.75,4723,6235,3686,27232,7634.5,0.170417700511097,0.274882797735045,-0.0365991089984491,0.365252593183674,-32.2214884484369
"W4-039","GmWMC006","W4",39,0,15.39,354.5,5163,6527.25,3773,28660,7581.25,0.159190456383693,0.238417880995498,-0.0679420039097154,0.370172977900256,-52.7770138725155
"W4-040","GmJMC031","W4",40,0,20.415,1006.75,2329.5,3830,1920.5,22958,7724,0.241216733532091,0.545349949196509,0.048376096278331,0.539611389062608,12.3071546551059
"W4-041","GmJMC057","W4",41,0,10.065,454,4497,6037.75,3451.5,25760.5,7691.75,0.17889595189321,0.308141910082685,-0.0152769086850746,0.362988088651954,-18.8993540385826
"W4-042","GmJMC111","W4",42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W4-043","GmJMC172","W4",43,1,9.48,426.25,4417,5885.5,3319,26768,8083.5,0.182530491662483,0.353224775585659,-0.00290038073448718,0.391493096696374,-14.4268462289325
"W4-044","GmWMC183","W4",44,1,12.615,365.666666666667,5303,6791.5,3902,27731,7700.5,0.173501935469806,0.257720995754775,-0.0462257298661272,0.336574539707275,-37.0547866656153
"W4-045","GmJMC091","W4",45,0,15.84,828,3031,4458.5,2225,24480.5,7939,0.242390906902646,0.483158297906183,0.0248047393079105,0.487810532931878,1.64167458215156
"W4-046","GmJMC077","W4",46,0,11.555,595.75,4081,5449.5,3020,26471,8208.5,0.191846772908376,0.377391973898242,-0.000888009026902592,0.404842862197945,-11.2648866598666
"W4-047","GmJMC021","W4",47,0,8.21,223,5813.5,7310,4162.5,33122,8322,0.170323093148624,0.235434359866876,-0.096046707234461,0.385309563944013,-85.0742500369633
